1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,2
11,2
12,3
13,3
14,5
15,6
16,6
17,6
18,7
19,10
20,22
21,23
22,27
23,31
24,43
25,52
26,59
27,96
28,156
29,226
30,329
31,481
32,612
33,783
34,1005
35,1238
36,1453
37,1749
38,2022
39,2507
40,2998
41,3463
42,4046
43,4512
44,5240
45,6064
46,6604
47,6984
48,7343
49,7633
50,8098
51,8986
52,9704
53,10214
54,10501
55,10631
56,10971
57,11328
58,11694
59,11872
60,12103
61,12282
62,12362
63,12580
64,12779
65,12907
66,13092
67,13180
68,13238
69,13316
70,13462
71,13639
72,13698
73,13836
74,13928
75,13991
76,14061
77,14148
78,14304
